word,i,j,k,l,m
AAHED,0,0,7,4,3
AALII,0,0,11,8,8
AARGH,0,0,17,6,7
AARTI,0,0,17,19,8
ABACA,0,1,0,2,0
ABACI,0,1,0,2,8
ABACK,0,1,0,2,10
ABACS,0,1,0,2,18
ABAFT,0,1,0,5,19
ABAKA,0,1,0,10,0
ABAMP,0,1,0,12,15
ABAND,0,1,0,13,3
ABASE,0,1,0,18,4
ABASH,0,1,0,18,7
ABASK,0,1,0,18,10
ABATE,0,1,0,19,4
ABAYA,0,1,0,24,0
ABBAS,0,1,1,0,18
ABBED,0,1,1,4,3
ABBES,0,1,1,4,18
ABBEY,0,1,1,4,24
ABBOT,0,1,1,14,19
ABCEE,0,1,2,4,4
ABEAM,0,1,4,0,12
ABEAR,0,1,4,0,17
ABELE,0,1,4,11,4
ABERS,0,1,4,17,18
ABETS,0,1,4,19,18
ABHOR,0,1,7,14,17
ABIDE,0,1,8,3,4
ABIES,0,1,8,4,18
ABLED,0,1,11,4,3
ABLER,0,1,11,4,17
ABLES,0,1,11,4,18
ABLET,0,1,11,4,19
ABLOW,0,1,11,14,22
ABMHO,0,1,12,7,14
ABODE,0,1,14,3,4
ABOHM,0,1,14,7,12
ABOIL,0,1,14,8,11
ABOMA,0,1,14,12,0
ABOON,0,1,14,14,13
ABORD,0,1,14,17,3
ABORE,0,1,14,17,4
ABORT,0,1,14,17,19
ABOUT,0,1,14,20,19
ABOVE,0,1,14,21,4
ABRAM,0,1,17,0,12
ABRAY,0,1,17,0,24
ABRIM,0,1,17,8,12
ABRIN,0,1,17,8,13
ABRIS,0,1,17,8,18
ABSEY,0,1,18,4,24
ABSIT,0,1,18,8,19
ABUNA,0,1,20,13,0
ABUNE,0,1,20,13,4
ABUSE,0,1,20,18,4
ABUTS,0,1,20,19,18
ABUZZ,0,1,20,25,25
ABYES,0,1,24,4,18
ABYSM,0,1,24,18,12
ABYSS,0,1,24,18,18
ACAIS,0,2,0,8,18
ACARI,0,2,0,17,8
ACCAS,0,2,2,0,18
ACCOY,0,2,2,14,24
ACERB,0,2,4,17,1
ACERS,0,2,4,17,18
ACETA,0,2,4,19,0
ACHAR,0,2,7,0,17
ACHED,0,2,7,4,3
ACHES,0,2,7,4,18
ACHOO,0,2,7,14,14
ACIDS,0,2,8,3,18
ACIDY,0,2,8,3,24
ACING,0,2,8,13,6
ACINI,0,2,8,13,8
ACKEE,0,2,10,4,4
ACKER,0,2,10,4,17
ACMES,0,2,12,4,18
ACMIC,0,2,12,8,2
ACNED,0,2,13,4,3
ACNES,0,2,13,4,18
ACOCK,0,2,14,2,10
ACOLD,0,2,14,11,3
ACORN,0,2,14,17,13
ACRED,0,2,17,4,3
ACRES,0,2,17,4,18
ACRID,0,2,17,8,3
ACROS,0,2,17,14,18
ACTED,0,2,19,4,3
ACTIN,0,2,19,8,13
ACTON,0,2,19,14,13
